,0,1,2,3,4,5,6,7,8,9,10,12,13,14
0,4.0,-2.3731910281516946,-1.389855338668149,3.361735091376978,1.3642512667564992,1.1510825796610937,-2.146825914503493,-1.3525130137470314,-0.34939395159522696,3.926464184648484,-1.892712805380463,CONF_treino,0.00120384957156871,1.3788790424928088
1,9.0,-4.33770547085692,0.5001134827390243,1.8156370376097255,0.7055563317191088,-0.6304806053228736,1.3680389895073561,-4.192328257704164,-0.15876841943525163,2.7856414985077085,3.4905367268470116,"[[47  7]
 [ 4 43]]",0.2,1.0000333333333329
2,9.0,1.4052290942421617,-0.9268739093905339,4.668510606035641,0.4184714224586516,0.11787784789897723,-0.5059247222919169,1.5195388905350544,-5.504849402009171,2.816116683864204,5.343709598430023,CONF_teste,0.00446702571033325,0.9979362360147308
3,1.0,-1.9376141618733969,0.26286817927798467,-0.3274634361900612,-0.39692431386991794,1.052903936454082,-3.4665636996663576,-1.5895948841140564,-1.142874855439268,-0.7379198447675505,1.954341566149499,"[[13  3]
 [ 2  7]]",0.03867842579938102,0.9880072160165924
4,0.0,,,,,,,,,,3.5774360811451573,MELHOR_PRECISAO,,
5,0.0,,,,,,,,,,2.0947303640634605,0.8,,
6,0.0,,,,,,,,,,2.1515793786590476,,,
7,0.0,,,,,,,,,,2.6076038927256917,,,
8,0.0,,,,,,,,,,-2.9426157624050955,,,
