,0,1,2,3,4,5,6,7,8,9,10,12,13,14
0,4.0,0.12131491707709129,-3.2611169080640936,-0.24221540742083464,-0.3293355963589018,1.4761908714918701,-1.645264439919412,-2.563129891045658,0.7661166217071919,2.101636010898434,0.9629159485674142,CONF_treino,0.00120384957156871,1.3788790424928088
1,9.0,0.29676038795059045,-1.548832213587278,-1.7517696518924544,0.22216913155519866,0.1475783597469634,1.0483059011602767,-1.6631606295464967,-2.6095466522285777,-3.541875383706939,2.4458826413515444,"[[65  0]
 [ 9 27]]",0.2,1.0000333333333329
2,9.0,-2.146283586257547,2.268599120422285,2.3677285587090555,-0.12593757520337218,-1.5268868002280005,0.718248223702505,1.417951050177842,1.2009699895832968,0.7180393799838047,1.82643950408442,CONF_teste,0.00446702571033325,0.9979362360147308
3,1.0,-0.10665686850809407,-2.646478447330856,0.7291476623781236,0.6500229911019284,2.5231567363821403,1.5309362446604138,-2.0067529176924905,0.37936765978158316,-0.5333011769425706,-2.066925058205362,"[[18  3]
 [ 1  3]]",0.03867842579938102,0.9880072160165924
4,0.0,,,,,,,,,,1.885411525485898,MELHOR_PRECISAO,,
5,0.0,,,,,,,,,,0.9651121855263184,0.84,,
6,0.0,,,,,,,,,,-1.4993126307341964,,,
7,0.0,,,,,,,,,,-2.8923460529994114,,,
8,0.0,,,,,,,,,,1.8479736929927968,,,
