,0,1,2,3,4,5,6,7,8,9,10,12
0,13.0,2.0241900487909374,-4.470336473641147,-0.059995702387016576,-2.992022319471872,-1.349437896476729,-1.1366371790285115,0.24513621791049656,-1.0238949994858015,-4.437483071316882,4.124962429170335,CONF_treino
1,9.0,-0.7607165944452521,-0.7556383335079963,-0.5962336709193193,-1.2523204514507822,-5.168405850344654,0.7236544891487605,-1.796292121759878,-2.172875617584142,1.9216677239158766,-2.936772399569629,"[[52  0]
 [ 0 49]]"
2,9.0,-0.6802617863746693,-4.468180326138665,-0.018278282890654977,-2.0690968954410858,1.750245381290038,-1.4120319465814684,-0.35540004493675387,0.4994516444120208,1.2453000457077208,4.234995973319757,CONF_teste
3,1.0,2.552917765811422,1.0997695660661029,-1.013144805113453,1.1961244396850226,-1.87055327457267,0.15013779684147713,-5.281557626652535,-0.8806852183307929,-6.052457116014182,2.0943173120973566,"[[7 4]
 [7 7]]"
4,0.0,,,,,,,,,,1.6267289176495427,MELHOR_PRECISAO
5,0.0,,,,,,,,,,2.3351212783313726,0.56
6,0.0,,,,,,,,,,-1.2852006739656274,
7,0.0,,,,,,,,,,-3.124652775772142,
8,0.0,,,,,,,,,,3.1205958140822574,
9,0.0,,,,,,,,,,,
10,0.0,,,,,,,,,,,
11,0.0,,,,,,,,,,,
12,0.0,,,,,,,,,,,
